date,rate_type,USD,EUR,JPY,GBP,SGD,AUD,CAD,CNY,CHF,THB,IDR,VND,KHR,MMK,PHP,BND,KRW,HKD,TWD,INR,PKR,NPR,SAR,AED,EGP,NZD,XDR
1/8/2005,middle,3.7509,4.5517,0.033326,6.5876,2.2533,,,0.4627,2.9112,,,,,,,,,0.482393,,,,,,,,,
2/8/2005,middle,3.7481,4.5725,0.033425,6.6313,2.2594,,,0.4625,2.9343,,,,,,,,,0.482253,,,,,,,,,
3/8/2005,middle,3.7467,4.5579,0.033556,6.6269,2.2619,,,0.4623,2.9283,,,,,,,,,0.481928,,,,,,,,,
4/8/2005,middle,3.7523,4.6253,0.033753,6.6756,2.2727,,,0.463,2.9727,,,,,,,,,0.482789,,,,,,,,,
5/8/2005,middle,3.7552,4.649,0.033725,6.689,2.2732,,,0.4635,2.9842,,,,,,,,,0.483068,,,,,,,,,
8/8/2005,middle,3.7495,4.6296,0.03336,6.6578,2.265,,,0.4627,2.9665,,,,,,,,,0.482486,,,,,,,,,
9/8/2005,middle,3.7467,4.6382,0.033468,6.6934,2.2665,,,0.4621,2.978,,,,,,,,,0.48216,,,,,,,,,
10/8/2005,middle,3.7453,4.6275,0.033553,6.6979,2.2686,,,0.4621,2.9709,,,,,,,,,0.482021,,,,,,,,,
11/8/2005,middle,3.7481,4.6447,0.033906,6.7385,2.2753,,,0.4623,2.9842,,,,,,,,,0.482393,,,,,,,,,
12/8/2005,middle,3.7495,4.6707,0.034128,6.7889,2.2738,,,0.4629,3.0084,,,,,,,,,0.482579,,,,,,,,,
15/8/2005,middle,3.7495,4.6577,0.034215,6.8027,2.2681,,,0.463,3.003,,,,,,,,,0.482625,,,,,,,,,
16/8/2005,middle,3.758,4.6361,0.034371,6.7935,2.2671,,,0.4641,2.9886,,,,,,,,,0.483723,,,,,,,,,
17/8/2005,middle,3.7665,4.6533,0.034391,6.8166,2.2712,,,0.4649,2.9976,,,,,,,,,0.484614,,,,,,,,,
18/8/2005,middle,3.7679,4.6189,0.034206,6.7981,2.2686,,,0.4652,2.9833,,,,,,,,,0.484896,,,,,,,,,
19/8/2005,middle,3.7679,4.5935,0.034115,6.7568,2.2609,,,0.4652,2.9656,,,,,,,,,0.484966,,,,,,,,,
22/8/2005,middle,3.7665,4.583,0.034107,6.7659,2.2573,,,0.4648,2.9568,,,,,,,,,0.484754,,,,,,,,,
23/8/2005,middle,3.7679,4.6019,0.034353,6.7843,2.2604,,,0.4649,2.963,,,,,,,,,0.484801,,,,,,,,,
24/8/2005,middle,3.7693,4.6041,0.034209,6.7797,2.2568,,,0.4653,2.963,,,,,,,,,0.484896,,,,,,,,,
25/8/2005,middle,3.7693,4.6318,0.034183,6.7889,2.2517,,,0.4653,2.9878,,,,,,,,,0.484919,,,,,,,,,
26/8/2005,middle,3.7693,4.6318,0.034191,6.7843,2.2517,,,0.4653,2.9967,,,,,,,,,0.484943,,,,,,,,,
29/8/2005,middle,3.7665,4.649,0.034233,6.812,2.2467,,,0.4653,3.0111,,,,,,,,,0.484825,,,,,,,,,
30/8/2005,middle,3.7693,4.6083,0.034085,6.7659,2.2457,,,0.4656,2.9744,,,,,,,,,0.485107,,,,,,,,,
1/9/2005,middle,3.7693,4.649,0.03407,6.7981,2.2411,,,0.4654,3.0057,,,,,,,,,0.485107,,,,,,,,,
2/9/2005,middle,3.7679,4.7037,0.034283,6.9013,2.2467,,,0.4655,3.0506,,,,,,,,,0.48506,,,,,,,,,
5/9/2005,middle,3.7594,4.7125,0.034265,6.9156,2.2462,,,0.4654,3.059,,,,,,,,,0.483863,,,,,,,,,
6/9/2005,middle,3.7594,4.697,0.034406,6.9204,2.2452,,,0.4655,3.0423,,,,,,,,,0.48398,,,,,,,,,
7/9/2005,middle,3.7693,4.697,0.034397,6.9348,2.2492,,,0.4667,3.0414,,,,,,,,,0.485201,,,,,,,,,
8/9/2005,middle,3.7693,4.6795,0.034194,6.9156,2.2472,,,0.4667,3.0321,,,,,,,,,0.485248,,,,,,,,,
9/9/2005,middle,3.7693,4.6685,0.034058,6.9156,2.2447,,,0.4666,3.0248,,,,,,,,,0.485343,,,,,,,,,
12/9/2005,middle,3.7679,4.6707,0.034426,6.9348,2.2517,,,0.4664,3.0266,,,,,,,,,0.485413,,,,,,,,,
13/9/2005,middle,3.7693,4.6275,0.034138,6.8587,2.2457,,,0.4667,2.9958,,,,,,,,,0.485531,,,,,,,,,
14/9/2005,middle,3.7693,4.6296,0.034065,6.8729,2.2432,,,0.4666,2.9931,,,,,,,,,0.485696,,,,,,,,,
15/9/2005,middle,3.7693,4.6232,0.03411,6.8729,2.2452,,,0.4667,2.9931,,,,,,,,,0.48572,,,,,,,,,
16/9/2005,middle,3.7693,4.6083,0.034024,6.812,2.2442,,,0.4669,2.9753,,,,,,,,,0.485767,,,,,,,,,
19/9/2005,middle,3.7693,4.5872,0.033821,6.7981,2.2406,,,0.467,2.9586,,,,,,,,,0.485673,,,,,,,,,
20/9/2005,middle,3.7693,4.5767,0.033803,6.7889,2.2416,,,0.4668,2.9464,,,,,,,,,0.485743,,,,,,,,,
21/9/2005,middle,3.7693,4.5746,0.033715,6.7797,2.2427,,,0.4669,2.9438,,,,,,,,,0.485602,,,,,,,,,
22/9/2005,middle,3.7693,4.6189,0.033841,6.8306,2.2447,,,0.4668,2.9753,,,,,,,,,0.485673,,,,,,,,,
23/9/2005,middle,3.7693,4.5767,0.033765,6.7476,2.2396,,,0.467,2.9455,,,,,,,,,0.485767,,,,,,,,,
26/9/2005,middle,3.7693,4.531,0.033545,6.68,2.2356,,,0.4668,2.9095,,,,,,,,,0.485814,,,,,,,,,
27/9/2005,middle,3.7693,4.5517,0.033523,6.6979,2.2316,,,0.4667,2.9231,,,,,,,,,0.485932,,,,,,,,,
28/9/2005,middle,3.7693,4.5331,0.033285,6.6667,2.2257,,,0.467,2.9121,,,,,,,,,0.485909,,,,,,,,,
29/9/2005,middle,3.7693,4.5393,0.033323,6.6622,2.2311,,,0.4669,2.918,,,,,,,,,0.485814,,,,,,,,,
30/9/2005,middle,3.7693,4.5331,0.033316,6.6313,2.2306,,,0.4667,2.9112,,,,,,,,,0.485838,,,,,,,,,
3/10/2005,middle,3.7693,4.5126,0.03308,6.6269,2.2252,,,0.4667,2.9011,,,,,,,,,0.485885,,,,,,,,,
4/10/2005,middle,3.7707,4.4924,0.033005,6.6181,2.2242,,,0.4668,2.8944,,,,,,,,,0.486003,,,,,,,,,
5/10/2005,middle,3.7722,4.4964,0.03303,6.6357,2.2292,,,0.467,2.8986,,,,,,,,,0.486216,,,,,,,,,
6/10/2005,middle,3.7722,4.5475,0.033146,6.6934,2.2326,,,0.467,2.9429,,,,,,,,,0.486263,,,,,,,,,
7/10/2005,middle,3.7693,4.5851,0.033213,6.6934,2.2411,,,0.4668,2.9612,,,,,,,,,0.486098,,,,,,,,,
10/10/2005,middle,3.7693,4.5704,0.033124,6.6357,2.2386,,,0.467,2.9481,,,,,,,,,0.486003,,,,,,,,,
11/10/2005,middle,3.7722,4.5372,0.033053,6.605,2.2356,,,0.4673,2.93,,,,,,,,,0.486169,,,,,,,,,
12/10/2005,middle,3.7722,4.5126,0.032884,6.5703,2.2302,,,0.4673,2.9163,,,,,,,,,0.486121,,,,,,,,,
13/10/2005,middle,3.7722,4.531,0.03292,6.6007,2.2292,,,0.4672,2.9283,,,,,,,,,0.486145,,,,,,,,,
14/10/2005,middle,3.7722,4.529,0.032874,6.6094,2.2306,,,0.4672,2.9223,,,,,,,,,0.486169,,,,,,,,,
17/10/2005,middle,3.7736,4.5704,0.033131,6.6845,2.2366,,,0.4674,2.9472,,,,,,,,,0.486452,,,,,,,,,
18/10/2005,middle,3.7736,4.5269,0.032741,6.6094,2.2292,,,0.4676,2.9138,,,,,,,,,0.4865,,,,,,,,,
19/10/2005,middle,3.7736,4.5045,0.032589,6.5876,2.2257,,,0.4673,2.8994,,,,,,,,,0.486334,,,,,,,,,
20/10/2005,middle,3.7736,4.5208,0.03267,6.6489,2.2267,,,0.4673,2.9112,,,,,,,,,0.486405,,,,,,,,,
21/10/2005,middle,3.7736,4.5517,0.032765,6.7114,2.2306,,,0.4674,2.9429,,,,,,,,,0.486523,,,,,,,,,
24/10/2005,middle,3.775,4.5065,0.032564,6.6667,2.2247,,,0.4676,2.9197,,,,,,,,,0.486736,,,,,,,,,
25/10/2005,middle,3.775,4.5126,0.032657,6.6667,2.2277,,,0.4674,2.9248,,,,,,,,,0.48676,,,,,,,,,
26/10/2005,middle,3.775,4.5662,0.032806,6.734,2.2341,,,0.4675,2.956,,,,,,,,,0.486713,,,,,,,,,
27/10/2005,middle,3.775,4.56,0.032583,6.7159,2.2306,,,0.4677,2.9472,,,,,,,,,0.48676,,,,,,,,,
28/10/2005,middle,3.775,4.5851,0.032738,6.734,2.2381,,,0.4678,2.9674,,,,,,,,,0.48676,,,,,,,,,
31/10/2005,middle,3.775,4.5517,0.032609,6.7024,2.2311,,,0.4671,2.9472,,,,,,,,,0.486831,,,,,,,,,
7/11/2005,middle,3.7764,4.4603,0.032026,6.605,2.2222,,,0.468,2.886,,,,,,,,,0.487045,,,,,,,,,
8/11/2005,middle,3.7764,4.4405,0.032071,6.5789,2.2212,,,0.4671,2.8794,,,,,,,,,0.487045,,,,,,,,,
9/11/2005,middle,3.7779,4.4464,0.032194,6.5833,2.2212,,,0.4673,2.881,,,,,,,,,0.487163,,,,,,,,,
10/11/2005,middle,3.7779,4.4425,0.032101,6.5833,2.2193,,,0.4673,2.881,,,,,,,,,0.487021,,,,,,,,,
11/11/2005,middle,3.7779,4.415,0.032095,6.5746,2.2202,,,0.4675,2.8736,,,,,,,,,0.487187,,,,,,,,,
14/11/2005,middle,3.7793,4.4307,0.032013,6.5746,2.2202,,,0.4675,2.8802,,,,,,,,,0.487282,,,,,,,,,
15/11/2005,middle,3.7793,4.4209,0.031818,6.5746,2.2168,,,0.4677,2.8703,,,,,,,,,0.487211,,,,,,,,,
16/11/2005,middle,3.7793,4.4307,0.031774,6.5617,2.2212,,,0.4677,2.8694,,,,,,,,,0.487306,,,,,,,,,
17/11/2005,middle,3.7793,4.4131,0.031764,6.4977,2.2202,,,0.4678,2.8531,,,,,,,,,0.487329,,,,,,,,,
18/11/2005,middle,3.7793,4.4425,0.031796,6.502,2.2227,,,0.4677,2.8686,,,,,,,,,0.487448,,,,,,,,,
21/11/2005,middle,3.7793,4.4484,0.031679,6.4851,2.2227,,,0.4678,2.8736,,,,,,,,,0.487448,,,,,,,,,
22/11/2005,middle,3.7793,4.4346,0.031756,6.4893,2.2237,,,0.4678,2.8662,,,,,,,,,0.487472,,,,,,,,,
