"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2026","24,249.29","24,380.02","24,492.71","23,999.67","-","-0.65%"
"06/10/2026","24,407.96","24,442.52","24,505.96","24,207.03","3.94B","-0.64%"
"06/09/2026","24,565.90","24,551.93","24,740.65","24,486.39","3.36B","-0.37%"
"06/08/2026","24,657.06","24,582.91","24,837.98","24,458.54","3.81B","-1.22%"
"06/05/2026","24,961.95","25,186.12","25,216.18","24,928.14","3.57B","-1.15%"
"06/04/2026","25,253.40","25,465.30","25,499.09","25,188.02","2.78B","-1.48%"
"06/03/2026","25,633.21","25,953.01","25,953.01","25,569.45","3.17B","-1.56%"
"06/02/2026","26,038.32","25,395.07","26,045.07","25,394.64","3.75B","2.52%"
"06/01/2026","25,398.18","25,180.05","25,486.76","25,174.30","3.70B","0.86%"
"05/29/2026","25,182.39","25,161.52","25,313.33","25,055.80","6.77B","0.70%"
"05/28/2026","25,006.16","25,230.58","25,230.58","24,727.26","4.24B","-1.27%"
"05/27/2026","25,328.23","25,608.78","25,638.41","25,258.03","3.72B","-1.06%"
"05/26/2026","25,599.45","25,622.36","25,768.38","25,431.17","4.08B","-0.03%"
"05/22/2026","25,606.03","25,641.80","25,732.36","25,483.24","3.28B","0.86%"
"05/21/2026","25,386.52","25,833.24","25,833.71","25,341.73","3.03B","-1.03%"
"05/20/2026","25,651.12","25,709.62","25,713.53","25,555.06","2.86B","-0.57%"
"05/19/2026","25,797.85","25,693.37","25,845.46","25,671.12","3.10B","0.48%"
"05/18/2026","25,675.18","25,838.96","25,838.96","25,505.71","3.02B","-1.11%"
"05/15/2026","25,962.73","26,391.02","26,391.02","25,847.15","3.26B","-1.62%"
"05/14/2026","26,389.04","26,836.66","26,844.80","26,366.86","3.12B","0.00%"
"05/13/2026","26,388.44","26,369.99","26,458.90","26,220.12","2.82B","0.15%"
"05/12/2026","26,347.91","26,497.03","26,592.37","26,328.84","3.08B","-0.22%"
"05/11/2026","26,406.84","26,310.87","26,427.14","26,219.26","3.08B","0.05%"
"05/08/2026","26,393.71","26,359.79","26,470.49","26,274.80","3.06B","-0.87%"
"05/07/2026","26,626.28","26,531.35","26,669.26","26,518.79","3.99B","1.57%"
"05/06/2026","26,213.78","26,029.65","26,213.78","25,877.82","3.54B","1.22%"
