"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2026","64,217.27","63,329.17","64,395.50","62,335.75","-","0.06%"
"06/10/2026","64,179.27","64,952.38","65,098.86","63,733.04","171.30M","-1.89%"
"06/09/2026","65,416.63","64,625.26","65,485.16","63,918.96","168.10M","2.17%"
"06/08/2026","64,024.60","65,947.56","66,115.18","63,406.66","179.50M","-3.85%"
"06/05/2026","66,588.12","67,115.00","67,115.00","65,862.21","148.10M","-1.31%"
"06/04/2026","67,470.69","67,860.84","68,051.94","66,920.80","152.70M","-1.36%"
"06/03/2026","68,402.13","67,238.53","68,786.49","67,238.53","170.70M","2.50%"
"06/02/2026","66,734.24","66,629.60","66,748.06","65,551.13","187.70M","-0.30%"
"06/01/2026","66,934.33","66,363.43","67,231.28","66,244.84","189.50M","0.91%"
"05/29/2026","66,329.50","65,133.97","66,505.02","65,133.97","295.10M","2.53%"
"05/28/2026","64,693.12","64,770.76","65,165.75","63,875.04","176.60M","-0.47%"
"05/27/2026","64,999.41","65,777.87","66,428.81","64,999.41","163.50M","0.01%"
"05/26/2026","64,996.09","65,247.24","65,317.69","64,605.69","157.20M","-0.25%"
"05/25/2026","65,158.19","63,658.95","65,408.87","63,562.51","161.10M","2.87%"
"05/22/2026","63,339.07","61,913.36","63,432.41","61,842.56","158.80M","2.68%"
"05/21/2026","61,684.14","60,374.84","62,043.53","60,282.35","166.60M","3.14%"
"05/20/2026","59,804.41","60,567.27","60,567.27","59,292.25","182.50M","-1.23%"
"05/19/2026","60,550.59","61,202.84","61,456.31","60,256.33","175.80M","-0.44%"
"05/18/2026","60,815.95","61,299.87","61,478.55","60,376.98","168.10M","-0.97%"
"05/15/2026","61,409.29","62,878.71","63,235.77","60,937.30","213.90M","-1.99%"
"05/14/2026","62,654.05","63,263.46","63,799.32","62,654.05","207.70M","-0.98%"
"05/13/2026","63,272.11","62,398.02","63,347.91","62,318.87","181.00M","0.84%"
"05/12/2026","62,742.57","62,618.72","63,218.51","62,158.43","189.20M","0.52%"
"05/11/2026","62,417.88","63,203.44","63,385.04","62,380.62","202.30M","-0.47%"
"05/08/2026","62,713.65","62,654.01","62,724.36","62,137.95","213.50M","-0.19%"
"05/07/2026","62,833.84","60,241.31","63,091.14","60,213.02","230.80M","5.58%"
"05/01/2026","59,513.12","59,379.12","59,706.70","59,263.50","150.70M","0.38%"
"04/30/2026","59,284.92","59,484.71","59,560.57","58,928.20","201.60M","-1.06%"
"04/28/2026","59,917.46","60,531.78","60,634.66","59,701.84","174.50M","-1.02%"
"04/27/2026","60,537.36","59,880.71","60,903.95","59,608.63","148.90M","1.38%"
"04/24/2026","59,716.18","59,407.44","59,763.68","59,225.37","141.40M","0.97%"
"04/23/2026","59,140.23","59,758.64","60,013.98","58,621.48","165.30M","-0.75%"
"04/22/2026","59,585.86","59,104.11","59,708.21","59,005.48","145.70M","0.40%"
"04/21/2026","59,349.17","59,031.51","59,611.91","59,004.76","129.50M","0.89%"
"04/20/2026","58,824.89","58,821.16","59,169.13","58,687.96","121.50M","0.60%"
"04/17/2026","58,475.90","59,255.09","59,381.25","58,475.90","140.00M","-1.75%"
"04/16/2026","59,518.34","58,479.83","59,688.10","58,428.19","150.30M","2.38%"
"04/15/2026","58,134.24","58,265.18","58,585.95","58,028.75","161.00M","0.44%"
"04/14/2026","57,877.39","57,085.65","57,979.82","57,010.18","143.70M","2.43%"
"04/13/2026","56,502.77","56,421.46","56,765.72","56,232.78","135.30M","-0.74%"
"04/10/2026","56,924.11","56,265.77","57,012.77","56,251.18","165.00M","1.84%"
"04/09/2026","55,895.32","56,199.86","56,406.49","55,763.05","154.70M","-0.73%"
"04/08/2026","56,308.42","54,386.65","56,424.63","54,380.02","186.70M","5.39%"
"04/07/2026","53,429.56","53,571.28","53,916.35","53,156.94","118.80M","0.03%"
"04/06/2026","53,413.68","53,205.93","54,039.34","53,205.93","102.50M","0.55%"
"04/03/2026","53,123.49","53,039.40","53,426.31","52,925.10","104.10M","1.26%"
"04/02/2026","52,463.27","54,066.83","54,258.48","52,273.07","163.20M","-2.38%"
"04/01/2026","53,739.68","51,959.47","53,739.68","51,902.84","165.90M","5.24%"
"03/31/2026","51,063.72","51,382.53","52,169.01","50,558.91","174.50M","-1.58%"
"03/30/2026","51,885.85","52,054.68","52,054.68","50,566.99","183.10M","-2.79%"
"03/27/2026","53,373.07","53,239.59","53,714.90","52,516.92","170.50M","-0.43%"
"03/26/2026","53,603.65","53,855.13","54,175.80","53,176.77","124.50M","-0.27%"
"03/25/2026","53,749.62","53,015.80","54,022.88","53,015.80","133.70M","2.87%"
"03/24/2026","52,252.28","52,380.60","52,701.99","51,645.15","131.80M","1.43%"
"03/23/2026","51,515.49","52,468.72","52,479.81","50,688.76","177.10M","-3.48%"
"03/19/2026","53,372.53","54,287.80","54,333.02","53,190.18","200.60M","-3.38%"
"03/18/2026","55,239.40","54,148.84","55,239.40","54,148.84","136.70M","2.87%"
"03/17/2026","53,700.39","54,286.26","54,388.43","53,482.59","117.80M","-0.09%"
"03/16/2026","53,751.15","53,627.86","53,983.51","53,113.95","128.80M","-0.13%"
"03/13/2026","53,819.61","53,587.30","54,065.31","53,286.69","169.00M","-1.16%"
"03/12/2026","54,452.96","54,387.90","54,733.08","53,796.01","154.10M","-1.04%"
"03/11/2026","55,025.37","54,917.93","55,745.38","54,882.58","146.90M","1.43%"
"03/10/2026","54,248.39","53,524.09","54,694.89","53,487.19","162.50M","2.88%"
"03/09/2026","52,728.72","54,608.63","54,608.63","51,407.66","219.40M","-5.20%"
"03/06/2026","55,620.84","54,674.60","55,686.56","54,513.43","142.80M","0.62%"
"03/05/2026","55,278.06","55,204.16","56,619.98","54,910.33","184.90M","1.90%"
"03/04/2026","54,245.54","55,470.88","55,701.27","53,618.20","214.00M","-3.61%"
"03/03/2026","56,279.05","57,729.80","57,890.76","56,091.54","179.00M","-3.06%"
"03/02/2026","58,057.24","57,976.20","58,365.21","57,285.77","162.40M","-1.35%"
"02/27/2026","58,850.27","58,606.03","58,924.17","58,130.57","192.40M","0.16%"
"02/26/2026","58,753.39","58,995.39","59,332.43","58,577.84","155.30M","0.29%"
"02/25/2026","58,583.12","57,695.40","58,875.17","57,656.50","167.10M","2.20%"
"02/24/2026","57,321.09","56,764.14","57,421.67","56,732.93","157.80M","0.87%"
"02/20/2026","56,825.70","56,979.74","56,979.74","56,680.88","152.40M","-1.12%"
"02/19/2026","57,467.83","57,472.08","57,709.82","57,362.01","135.50M","0.57%"
"02/18/2026","57,143.84","56,734.27","57,392.89","56,734.27","130.10M","1.02%"
"02/17/2026","56,566.49","56,819.37","56,926.24","56,135.12","132.60M","-0.42%"
"02/16/2026","56,806.41","57,212.97","57,219.20","56,748.18","137.40M","-0.24%"
"02/13/2026","56,941.97","57,197.33","57,407.25","56,652.48","210.00M","-1.21%"
"02/12/2026","57,639.84","57,864.74","58,015.08","57,554.49","190.00M","-0.02%"
"02/10/2026","57,650.54","56,812.01","57,960.19","56,812.01","191.50M","2.28%"
"02/09/2026","56,363.94","55,130.63","57,337.07","55,018.57","205.00M","3.89%"
"02/06/2026","54,253.68","53,435.37","54,253.68","52,950.15","188.90M","0.81%"
"02/05/2026","53,818.04","54,289.05","54,459.08","53,653.06","213.20M","-0.88%"
"02/04/2026","54,293.36","54,250.41","54,459.41","53,965.51","186.30M","-0.78%"
"02/03/2026","54,720.66","53,332.18","54,782.83","53,307.74","156.90M","3.92%"
"02/02/2026","52,655.18","53,575.37","54,247.15","52,655.18","153.80M","-1.25%"
"01/30/2026","53,322.85","53,434.73","53,590.24","52,923.12","156.80M","-0.10%"
"01/29/2026","53,375.60","53,301.26","53,742.69","52,990.42","154.50M","0.03%"
"01/28/2026","53,358.71","53,023.88","53,507.18","52,788.10","149.80M","0.05%"
"01/27/2026","53,333.54","52,847.54","53,334.03","52,637.66","136.70M","0.85%"
"01/26/2026","52,885.25","53,023.28","53,138.67","52,656.00","138.30M","-1.79%"
"01/23/2026","53,846.87","53,898.45","54,050.84","53,603.68","129.50M","0.29%"
"01/22/2026","53,688.89","53,327.39","53,922.53","53,242.38","150.90M","1.73%"
"01/21/2026","52,774.64","52,228.08","52,848.78","52,194.81","139.00M","-0.41%"
"01/20/2026","52,991.10","53,348.59","53,408.35","52,852.90","126.80M","-1.11%"
"01/19/2026","53,583.57","53,390.05","53,583.57","53,091.45","122.90M","-0.65%"
"01/16/2026","53,936.17","54,071.28","54,130.60","53,706.79","144.30M","-0.32%"
"01/15/2026","54,110.50","54,039.40","54,153.61","53,709.87","150.90M","-0.42%"
"01/14/2026","54,341.23","53,827.24","54,487.32","53,792.68","144.50M","1.48%"
"01/13/2026","53,549.16","52,808.29","53,814.79","52,741.64","168.50M","3.10%"
"01/09/2026","51,939.89","51,367.98","51,986.91","51,189.14","133.10M","1.61%"
"01/08/2026","51,117.26","51,769.83","51,866.19","51,052.83","135.40M","-1.63%"
"01/07/2026","51,961.98","52,144.64","52,404.11","51,830.40","138.60M","-1.06%"
"01/06/2026","52,518.08","52,157.22","52,523.77","52,024.62","151.90M","1.32%"
"01/05/2026","51,832.80","51,010.28","52,033.24","50,995.67","139.40M","2.97%"
"12/30/2025","50,339.48","50,312.85","50,534.64","50,198.97","93.70M","-0.37%"
"12/29/2025","50,526.92","50,691.22","50,707.23","50,347.65","98.00M","-0.44%"
"12/26/2025","50,750.39","50,527.13","50,941.89","50,527.13","81.10M","0.68%"
"12/25/2025","50,407.79","50,450.18","50,510.11","50,283.76","58.30M","0.13%"
"12/24/2025","50,344.10","50,475.48","50,636.95","50,323.92","83.20M","-0.14%"
"12/23/2025","50,412.87","50,374.48","50,544.56","50,264.42","92.70M","0.02%"
"12/22/2025","50,402.39","50,084.55","50,590.88","49,982.20","112.90M","1.81%"
"12/19/2025","49,507.21","49,387.71","49,766.96","49,257.15","163.30M","1.03%"
"12/18/2025","49,001.50","49,058.31","49,169.79","48,643.78","116.20M","-1.03%"
"12/17/2025","49,512.28","49,413.19","49,571.50","49,077.81","113.20M","0.26%"
"12/16/2025","49,383.29","50,051.24","50,051.24","49,355.87","124.60M","-1.56%"
"12/15/2025","50,168.11","50,352.09","50,432.10","49,965.68","121.90M","-1.31%"
"12/12/2025","50,836.55","50,480.23","51,127.69","50,457.42","152.20M","1.37%"
"12/11/2025","50,148.82","50,818.39","50,875.98","49,926.27","109.90M","-0.90%"
"12/10/2025","50,602.80","50,878.66","51,107.77","50,329.27","125.10M","-0.10%"
"12/09/2025","50,655.10","50,677.36","50,793.69","50,417.11","107.10M","0.14%"
"12/08/2025","50,581.94","50,643.09","50,678.05","50,224.65","104.40M","0.18%"
"12/05/2025","50,491.87","50,530.34","50,634.85","50,215.41","119.30M","-1.05%"
"12/04/2025","51,028.42","49,942.94","51,028.42","49,910.06","127.30M","2.33%"
"12/03/2025","49,864.68","49,540.64","50,138.60","49,521.23","119.50M","1.14%"
"12/02/2025","49,303.45","49,494.58","49,636.79","49,243.55","127.10M","0.00%"
"12/01/2025","49,303.28","50,318.59","50,366.74","49,215.96","118.20M","-1.89%"
"11/28/2025","50,253.91","50,218.96","50,258.25","49,989.54","98.20M","0.17%"
"11/27/2025","50,167.10","49,868.79","50,322.14","49,865.17","99.30M","1.23%"
"11/26/2025","49,559.07","49,012.25","49,749.59","48,964.19","134.10M","1.85%"
"11/25/2025","48,659.52","49,113.82","49,182.32","48,511.95","144.50M","0.07%"
"11/21/2025","48,625.88","49,251.26","49,459.59","48,490.03","212.20M","-2.40%"
"11/20/2025","49,823.94","49,129.29","50,574.82","49,113.39","139.40M","2.65%"
"11/19/2025","48,537.70","48,822.88","49,087.11","48,235.30","136.50M","-0.34%"
"11/18/2025","48,702.98","49,812.95","49,971.55","48,661.52","137.40M","-3.22%"
"11/17/2025","50,323.91","50,282.39","50,398.16","49,845.86","126.00M","-0.10%"
"11/14/2025","50,376.53","50,767.74","50,767.74","50,246.60","149.30M","-1.77%"
"11/13/2025","51,281.83","51,013.15","51,338.89","50,954.27","135.70M","0.43%"
"11/12/2025","51,063.31","50,988.53","51,072.26","50,537.50","150.40M","0.43%"
"11/11/2025","50,842.93","51,314.04","51,513.16","50,581.17","125.90M","-0.14%"
"11/10/2025","50,911.76","50,645.27","50,969.50","50,392.44","129.70M","1.26%"
"11/07/2025","50,276.37","50,524.31","50,642.79","49,640.56","146.70M","-1.19%"
"11/06/2025","50,883.68","50,792.55","51,248.28","50,594.19","171.30M","1.34%"
"11/05/2025","50,212.27","51,291.39","51,422.42","49,073.58","219.70M","-2.50%"
"11/04/2025","51,497.20","52,294.31","52,636.87","51,497.20","190.10M","-1.74%"
"10/31/2025","52,411.34","51,629.80","52,411.34","51,613.03","180.30M","2.12%"
"10/30/2025","51,325.61","51,146.27","51,657.28","50,972.56","230.90M","0.04%"
"10/29/2025","51,307.65","50,453.64","51,412.97","50,365.62","129.70M","2.17%"
"10/28/2025","50,219.18","50,357.15","50,485.80","50,107.77","119.50M","-0.58%"
"10/27/2025","50,512.32","49,905.80","50,549.60","49,838.98","122.10M","2.46%"
"10/24/2025","49,299.65","49,095.27","49,435.31","48,965.78","109.10M","1.35%"
"10/23/2025","48,641.61","48,866.58","48,866.58","48,399.05","107.60M","-1.35%"
"10/22/2025","49,307.79","49,252.03","49,458.28","48,613.70","141.10M","-0.02%"
"10/21/2025","49,316.06","49,675.43","49,945.95","49,127.20","124.50M","0.27%"
"10/20/2025","49,185.50","48,332.71","49,185.50","48,254.83","121.00M","3.37%"
"10/17/2025","47,582.15","47,820.97","48,140.90","47,494.31","124.80M","-1.44%"
"10/16/2025","48,277.74","48,107.44","48,317.34","47,937.72","121.10M","1.27%"
"10/15/2025","47,672.67","47,002.30","47,774.83","46,910.83","118.40M","1.76%"
"10/14/2025","46,847.32","47,446.73","47,865.65","46,544.05","170.30M","-2.58%"
"10/10/2025","48,088.80","48,510.72","48,510.72","47,962.61","150.70M","-1.01%"
"10/09/2025","48,580.44","48,035.42","48,597.08","47,995.22","138.50M","1.77%"
"10/08/2025","47,734.99","47,925.22","48,181.12","47,728.27","142.20M","-0.45%"
"10/07/2025","47,950.88","48,281.12","48,527.33","47,904.38","154.20M","0.01%"
"10/06/2025","47,944.76","46,636.07","48,150.04","46,592.99","178.30M","4.75%"
"10/03/2025","45,769.50","45,042.54","45,778.66","45,042.54","117.60M","1.85%"
