"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2026","7,266.99","7,350.54","7,396.56","7,265.93","5.25B","-1.62%"
"06/09/2026","7,386.65","7,438.66","7,483.15","7,237.85","6.01B","-0.26%"
"06/08/2026","7,405.73","7,440.57","7,466.81","7,395.13","4.90B","0.30%"
"06/05/2026","7,383.74","7,537.36","7,541.81","7,368.63","5.59B","-2.64%"
"06/04/2026","7,584.31","7,516.54","7,598.19","7,516.54","5.40B","0.41%"
"06/03/2026","7,553.68","7,605.31","7,605.35","7,551.22","5.75B","-0.74%"
"06/02/2026","7,609.78","7,595.40","7,620.90","7,582.99","5.90B","0.13%"
"06/01/2026","7,599.96","7,582.29","7,617.66","7,562.61","6.58B","0.26%"
"05/29/2026","7,580.06","7,579.33","7,599.38","7,563.55","7.86B","0.22%"
"05/28/2026","7,563.63","7,519.82","7,568.72","7,508.04","5.49B","0.58%"
"05/27/2026","7,520.36","7,526.01","7,530.72","7,499.72","5.52B","0.02%"
"05/26/2026","7,519.12","7,511.79","7,539.09","7,501.10","5.50B","0.61%"
"05/22/2026","7,473.47","7,468.82","7,506.32","7,463.29","4.95B","0.37%"
"05/21/2026","7,445.72","7,410.78","7,465.96","7,389.48","5.44B","0.17%"
"05/20/2026","7,432.97","7,369.19","7,435.69","7,357.46","5.38B","1.08%"
"05/19/2026","7,353.61","7,375.75","7,395.32","7,333.68","5.44B","-0.67%"
"05/18/2026","7,403.05","7,415.07","7,434.06","7,353.17","5.49B","-0.07%"
"05/15/2026","7,408.50","7,445.11","7,454.85","7,397.50","5.58B","-1.24%"
"05/14/2026","7,501.24","7,454.40","7,517.12","7,454.40","5.27B","0.77%"
"05/13/2026","7,444.25","7,409.12","7,460.04","7,375.13","5.72B","0.58%"
"05/12/2026","7,400.96","7,390.63","7,409.57","7,338.54","5.62B","-0.16%"
"05/11/2026","7,412.84","7,385.31","7,428.97","7,384.20","5.82B","0.19%"
"05/08/2026","7,398.93","7,362.97","7,401.50","7,362.97","5.30B","0.84%"
"05/07/2026","7,337.11","7,376.78","7,385.02","7,321.25","6.24B","-0.38%"
"05/06/2026","7,365.12","7,294.14","7,369.22","7,294.14","6.58B","1.46%"
"05/05/2026","7,259.22","7,233.62","7,273.26","7,233.62","5.28B","0.81%"
"05/04/2026","7,200.75","7,228.38","7,244.54","7,174.12","5.22B","-0.41%"
"05/01/2026","7,230.12","7,234.54","7,272.52","7,229.32","4.85B","0.29%"
"04/30/2026","7,209.01","7,161.75","7,219.83","7,126.15","5.72B","1.02%"
"04/29/2026","7,135.95","7,131.61","7,145.63","7,107.86","5.12B","-0.04%"
"04/28/2026","7,138.80","7,133.74","7,152.52","7,115.17","4.90B","-0.49%"
"04/27/2026","7,173.91","7,152.72","7,178.74","7,146.72","4.78B","0.12%"
"04/24/2026","7,165.08","7,136.48","7,168.59","7,112.82","4.61B","0.80%"
"04/23/2026","7,108.40","7,118.80","7,147.78","7,046.55","5.31B","-0.41%"
"04/22/2026","7,137.90","7,102.91","7,138.64","7,102.91","4.92B","1.05%"
"04/21/2026","7,064.01","7,122.64","7,137.27","7,050.20","5.16B","-0.63%"
"04/20/2026","7,109.14","7,117.05","7,122.65","7,084.41","4.66B","-0.24%"
"04/17/2026","7,126.06","7,074.55","7,147.52","7,074.55","6.15B","1.20%"
"04/16/2026","7,041.28","7,037.78","7,051.23","7,008.52","5.17B","0.26%"
"04/15/2026","7,022.95","6,978.17","7,026.24","6,967.13","5.28B","0.80%"
"04/14/2026","6,967.38","6,910.20","6,969.42","6,905.17","5.03B","1.18%"
"04/13/2026","6,886.24","6,806.47","6,887.00","6,790.02","4.79B","1.02%"
"04/10/2026","6,816.89","6,839.24","6,845.77","6,808.46","4.39B","-0.11%"
"04/09/2026","6,824.66","6,783.69","6,835.31","6,761.55","4.91B","0.62%"
"04/08/2026","6,782.81","6,754.36","6,793.50","6,740.28","5.90B","2.51%"
"04/07/2026","6,616.85","6,601.93","6,618.26","6,534.55","4.56B","0.08%"
"04/06/2026","6,611.83","6,587.66","6,618.13","6,579.72","3.91B","0.44%"
"04/02/2026","6,582.69","6,512.61","6,601.91","6,474.94","4.74B","0.11%"
"04/01/2026","6,575.32","6,556.56","6,609.67","6,554.29","5.64B","0.72%"
"03/31/2026","6,528.52","6,395.88","6,539.05","6,395.88","6.40B","2.91%"
"03/30/2026","6,343.72","6,403.37","6,427.31","6,316.91","5.46B","-0.39%"
"03/27/2026","6,368.85","6,453.89","6,453.89","6,356.08","5.30B","-1.67%"
"03/26/2026","6,477.16","6,555.86","6,573.22","6,473.79","4.85B","-1.74%"
"03/25/2026","6,591.90","6,598.35","6,633.94","6,568.41","4.94B","0.54%"
"03/24/2026","6,556.37","6,552.09","6,595.75","6,525.11","5.28B","-0.37%"
"03/23/2026","6,581.00","6,574.96","6,651.62","6,565.55","6.02B","1.15%"
"03/20/2026","6,506.48","6,594.66","6,594.66","6,473.52","10.03B","-1.51%"
"03/19/2026","6,606.49","6,583.12","6,636.74","6,557.82","5.97B","-0.27%"
"03/18/2026","6,624.70","6,697.16","6,705.18","6,621.66","5.28B","-1.36%"
"03/17/2026","6,716.09","6,722.35","6,754.30","6,710.80","5.06B","0.25%"
"03/16/2026","6,699.38","6,674.37","6,729.79","6,674.37","5.18B","1.01%"
"03/13/2026","6,632.19","6,673.49","6,733.30","6,623.92","5.34B","-0.61%"
"03/12/2026","6,672.62","6,740.88","6,740.88","6,670.40","6.29B","-1.52%"
"03/11/2026","6,775.80","6,790.09","6,811.15","6,745.59","5.51B","-0.08%"
"03/10/2026","6,781.48","6,796.56","6,845.08","6,759.74","5.94B","-0.21%"
"03/09/2026","6,795.99","6,699.80","6,810.44","6,636.04","6.71B","0.83%"
"03/06/2026","6,740.02","6,769.03","6,773.42","6,711.56","5.79B","-1.33%"
"03/05/2026","6,830.71","6,851.08","6,870.43","6,770.78","5.99B","-0.56%"
"03/04/2026","6,869.50","6,831.69","6,885.94","6,811.64","5.25B","0.78%"
"03/03/2026","6,816.63","6,800.26","6,840.05","6,710.42","6.44B","-0.94%"
"03/02/2026","6,881.62","6,824.36","6,901.01","6,796.85","6.08B","0.04%"
"02/27/2026","6,878.88","6,856.54","6,882.96","6,831.74","6.67B","-0.43%"
"02/26/2026","6,908.86","6,944.74","6,947.25","6,859.73","5.89B","-0.54%"
"02/25/2026","6,946.13","6,915.15","6,952.51","6,915.15","5.33B","0.81%"
"02/24/2026","6,890.07","6,837.37","6,899.17","6,815.43","5.27B","0.77%"
"02/23/2026","6,837.75","6,901.25","6,916.96","6,819.82","5.64B","-1.04%"
"02/20/2026","6,909.51","6,843.26","6,915.86","6,836.33","5.43B","0.69%"
"02/19/2026","6,861.89","6,861.34","6,879.12","6,833.06","5.15B","-0.28%"
"02/18/2026","6,881.31","6,855.48","6,909.12","6,849.66","5.10B","0.56%"
"02/17/2026","6,843.22","6,819.86","6,866.99","6,775.50","5.42B","0.10%"
"02/13/2026","6,836.17","6,834.27","6,881.96","6,794.55","5.72B","0.05%"
"02/12/2026","6,832.76","6,957.54","6,973.22","6,824.04","7.12B","-1.57%"
"02/11/2026","6,941.47","6,976.48","6,993.48","6,911.97","6.18B","-0.00%"
"02/10/2026","6,941.81","6,974.49","6,986.83","6,937.53","5.60B","-0.33%"
"02/09/2026","6,964.82","6,917.26","6,980.10","6,905.87","5.65B","0.47%"
"02/06/2026","6,932.30","6,816.74","6,944.89","6,816.74","6.28B","1.97%"
"02/05/2026","6,798.40","6,837.39","6,857.85","6,780.13","6.99B","-1.23%"
"02/04/2026","6,882.72","6,924.50","6,936.09","6,838.80","7.48B","-0.51%"
"02/03/2026","6,917.81","6,985.45","6,993.08","6,862.05","7.02B","-0.84%"
"02/02/2026","6,976.44","6,916.64","6,991.92","6,914.34","5.77B","0.54%"
"01/30/2026","6,939.03","6,947.27","6,964.09","6,893.48","6.70B","-0.43%"
"01/29/2026","6,969.01","6,977.74","6,992.84","6,870.80","6.88B","-0.13%"
"01/28/2026","6,978.03","7,002.00","7,002.28","6,963.46","5.51B","-0.01%"
"01/27/2026","6,978.60","6,965.96","6,988.82","6,958.83","5.33B","0.41%"
"01/26/2026","6,950.23","6,923.23","6,964.66","6,921.60","4.97B","0.50%"
"01/23/2026","6,915.61","6,907.85","6,932.96","6,895.50","4.87B","0.03%"
"01/22/2026","6,913.35","6,914.44","6,934.75","6,893.62","5.31B","0.55%"
"01/21/2026","6,875.62","6,810.71","6,910.39","6,804.96","5.84B","1.16%"
"01/20/2026","6,796.86","6,865.24","6,871.17","6,789.05","5.77B","-2.06%"
"01/16/2026","6,940.01","6,960.54","6,967.30","6,925.09","5.36B","-0.06%"
"01/15/2026","6,944.47","6,969.46","6,979.34","6,937.93","5.11B","0.26%"
"01/14/2026","6,926.60","6,937.41","6,941.30","6,885.74","5.53B","-0.53%"
"01/13/2026","6,963.74","6,977.41","6,985.83","6,938.77","5.09B","-0.19%"
"01/12/2026","6,977.27","6,944.12","6,986.33","6,934.07","5.02B","0.16%"
"01/09/2026","6,966.28","6,927.83","6,978.36","6,917.64","5.16B","0.65%"
"01/08/2026","6,921.46","6,914.11","6,931.28","6,899.33","5.33B","0.01%"
"01/07/2026","6,920.93","6,945.07","6,965.69","6,919.19","5.21B","-0.34%"
"01/06/2026","6,944.82","6,908.03","6,948.69","6,904.02","5.51B","0.62%"
"01/05/2026","6,902.05","6,892.19","6,920.38","6,891.56","5.77B","0.64%"
"01/02/2026","6,858.47","6,878.11","6,894.87","6,824.31","4.18B","0.19%"
