"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2026","34,151.30","34,234.20","34,403.70","34,123.50","274.57M","-0.76%"
"06/09/2026","34,411.70","34,533.80","34,739.00","33,990.50","292.15M","-0.19%"
"06/08/2026","34,478.70","34,511.20","34,734.90","34,436.70","304.14M","0.19%"
"06/05/2026","34,413.50","35,071.80","35,071.80","34,379.70","321.85M","-2.28%"
"06/04/2026","35,217.10","34,886.40","35,291.10","34,886.40","314.58M","1.19%"
"06/03/2026","34,801.50","35,030.60","35,111.50","34,799.90","278.69M","-1.05%"
"06/02/2026","35,169.50","34,711.80","35,176.80","34,711.80","287.64M","1.25%"
"06/01/2026","34,734.90","34,754.80","34,815.30","34,494.20","289.42M","-0.10%"
"05/29/2026","34,769.10","34,557.50","34,769.10","34,423.30","661.36M","0.73%"
"05/28/2026","34,517.70","34,383.20","34,602.60","34,232.00","265.39M","0.31%"
"05/27/2026","34,412.10","34,560.00","34,613.40","34,392.70","279.77M","-0.70%"
"05/26/2026","34,653.90","34,718.70","34,762.00","34,551.90","257.28M","-0.20%"
"05/25/2026","34,724.80","34,635.80","34,846.50","34,635.80","67.07M","0.74%"
"05/22/2026","34,471.40","34,482.10","34,574.90","34,401.90","228.96M","0.18%"
"05/21/2026","34,409.50","34,071.30","34,522.00","34,025.80","282.33M","0.73%"
"05/20/2026","34,161.80","33,786.80","34,234.50","33,786.80","271.21M","1.25%"
"05/19/2026","33,741.20","33,878.60","34,013.90","33,721.00","322.64M","-0.27%"
"05/15/2026","33,833.40","34,065.70","34,065.70","33,673.80","314.26M","-1.27%"
"05/14/2026","34,268.30","34,083.40","34,323.80","33,997.70","250.13M","0.67%"
"05/13/2026","34,041.40","34,236.40","34,267.40","33,963.00","256.07M","-0.73%"
"05/12/2026","34,290.70","34,113.70","34,303.70","33,907.30","283.50M","0.44%"
"05/11/2026","34,138.90","34,052.70","34,331.80","34,052.70","288.04M","0.18%"
"05/08/2026","34,077.80","33,959.70","34,122.80","33,959.70","290.54M","0.65%"
"05/07/2026","33,856.60","34,027.30","34,175.50","33,745.00","324.76M","-0.37%"
"05/06/2026","33,981.80","33,813.10","34,042.20","33,813.10","343.26M","1.24%"
"05/05/2026","33,566.90","33,590.90","33,790.10","33,546.50","236.40M","-0.21%"
"05/04/2026","33,638.90","33,847.90","33,943.90","33,615.60","298.38M","-0.74%"
"05/01/2026","33,891.20","33,979.50","34,002.70","33,851.20","199.26M","-0.22%"
"04/30/2026","33,964.30","33,405.70","33,976.00","33,405.70","331.24M","1.94%"
"04/29/2026","33,318.40","33,525.00","33,531.30","33,233.40","279.03M","-0.79%"
"04/28/2026","33,584.30","33,757.90","33,844.90","33,550.50","299.89M","-0.69%"
"04/27/2026","33,818.20","33,849.10","33,918.60","33,738.40","325.55M","-0.25%"
"04/24/2026","33,904.10","33,965.40","33,965.40","33,773.90","228.29M","-0.03%"
"04/23/2026","33,912.90","33,857.60","34,010.50","33,621.80","260.56M","-0.12%"
"04/22/2026","33,955.10","33,961.40","34,112.80","33,871.80","207.99M","0.43%"
"04/21/2026","33,808.30","34,334.30","34,401.80","33,793.00","281.07M","-1.61%"
"04/20/2026","34,360.00","34,287.80","34,371.90","34,211.80","261.12M","0.04%"
"04/17/2026","34,346.30","34,143.30","34,430.80","34,128.00","324.99M","0.86%"
"04/16/2026","34,052.20","34,220.40","34,333.60","34,027.40","242.19M","-0.30%"
"04/15/2026","34,156.00","34,112.90","34,282.00","34,018.70","228.14M","0.16%"
"04/14/2026","34,102.40","33,935.90","34,121.70","33,844.30","241.31M","0.66%"
"04/13/2026","33,879.20","33,594.60","33,913.50","33,548.00","270.83M","0.54%"
"04/10/2026","33,695.80","33,528.20","33,777.70","33,528.20","240.67M","0.65%"
"04/09/2026","33,477.70","33,590.80","33,737.10","33,446.70","310.07M","-0.43%"
"04/08/2026","33,620.60","33,559.10","33,862.50","33,480.50","355.38M","1.15%"
"04/07/2026","33,237.50","33,139.50","33,239.20","32,931.10","278.01M","0.17%"
"04/06/2026","33,182.00","33,090.00","33,230.70","33,077.70","279.09M","0.22%"
"04/02/2026","33,108.20","32,682.40","33,144.90","32,564.10","306.61M","0.46%"
"04/01/2026","32,958.00","32,920.20","33,113.80","32,859.30","326.52M","0.58%"
"03/31/2026","32,768.00","32,156.30","32,779.80","32,156.30","365.55M","2.61%"
"03/30/2026","31,934.90","32,088.10","32,392.80","31,778.00","313.31M","-0.08%"
"03/27/2026","31,960.70","31,800.90","32,104.10","31,743.70","305.31M","0.23%"
"03/26/2026","31,887.50","32,161.10","32,506.40","31,867.90","303.61M","-1.53%"
"03/25/2026","32,382.60","32,232.60","32,453.10","32,128.00","312.61M","1.38%"
"03/24/2026","31,941.60","31,757.90","32,116.90","31,572.40","293.10M","0.18%"
"03/23/2026","31,883.80","31,411.00","32,050.80","31,411.00","438.00M","1.81%"
"03/20/2026","31,317.40","31,796.80","31,799.20","31,146.30","839.66M","-1.69%"
"03/19/2026","31,855.00","32,126.70","32,126.70","31,566.30","362.74M","-1.42%"
"03/18/2026","32,312.70","32,777.60","32,777.60","32,287.70","234.01M","-1.87%"
"03/17/2026","32,929.10","33,007.00","33,255.10","32,883.70","238.37M","0.16%"
"03/16/2026","32,876.70","32,569.10","32,930.30","32,569.10","293.39M","1.03%"
"03/13/2026","32,541.90","32,843.90","33,051.10","32,483.80","264.66M","-0.91%"
"03/12/2026","32,840.60","33,056.00","33,121.60","32,820.30","323.84M","-0.84%"
"03/11/2026","33,119.80","33,212.90","33,282.10","32,985.60","312.56M","-0.45%"
"03/10/2026","33,270.70","33,274.90","33,523.20","33,166.00","331.73M","0.25%"
"03/09/2026","33,189.30","32,853.30","33,241.30","32,349.30","407.90M","0.32%"
"03/06/2026","33,083.70","33,352.10","33,352.10","32,882.80","362.63M","-1.57%"
"03/05/2026","33,610.00","33,791.20","33,836.00","33,330.80","323.64M","-0.98%"
"03/04/2026","33,942.90","33,905.10","34,058.70","33,764.80","284.04M","0.47%"
"03/03/2026","33,784.90","34,147.70","34,147.70","33,136.50","357.15M","-2.19%"
"03/02/2026","34,541.30","34,304.90","34,544.50","34,116.20","339.53M","0.59%"
"02/27/2026","34,340.00","34,414.30","34,495.30","34,240.10","496.72M","-0.47%"
"02/26/2026","34,502.00","34,124.30","34,510.10","34,047.50","312.50M","1.10%"
"02/25/2026","34,127.30","34,051.10","34,262.20","33,962.80","292.16M","0.46%"
"02/24/2026","33,970.40","33,703.80","33,994.60","33,614.70","296.48M","0.57%"
"02/23/2026","33,776.50","33,809.90","33,998.50","33,563.30","304.73M","-0.12%"
"02/20/2026","33,817.50","33,568.70","33,820.80","33,537.00","326.28M","0.66%"
"02/19/2026","33,595.00","33,317.80","33,595.60","33,242.40","286.00M","0.61%"
"02/18/2026","33,389.70","33,008.70","33,458.20","33,008.70","317.19M","1.50%"
"02/17/2026","32,896.60","32,975.50","32,975.50","32,537.10","304.54M","-0.54%"
"02/13/2026","33,073.70","32,530.20","33,073.70","32,458.80","264.20M","1.87%"
