"Date","Price","Open","High","Low","Vol.","Change %"
"11/04/2021","988.26","985.43","990.61","980.89","104.99M","0.41%"
"11/03/2021","984.27","978.52","984.35","973.65","95.13M","0.87%"
"11/02/2021","975.76","975.36","978.05","971.61","99.00M","0.78%"
"11/01/2021","968.20","961.11","968.20","959.01","107.70M","1.87%"
"10/29/2021","950.43","958.17","958.17","949.45","94.68M","-0.50%"
"10/28/2021","955.21","951.73","956.11","950.61","74.45M","0.89%"
"10/27/2021","946.79","955.03","958.36","944.49","84.08M","-1.25%"
"10/26/2021","958.76","966.57","966.57","956.33","82.21M","-0.54%"
"10/25/2021","963.93","957.11","964.65","956.23","89.32M","1.59%"
"10/22/2021","948.84","949.66","951.84","942.49","81.80M","0.36%"
"10/21/2021","945.39","954.08","954.08","941.14","100.00M","-0.78%"
"10/20/2021","952.87","953.05","954.50","949.34","107.57M","0.26%"
"10/19/2021","950.38","946.50","950.38","942.99","102.11M","1.34%"
"10/18/2021","937.81","939.85","942.31","935.71","99.76M","0.01%"
"10/15/2021","937.67","929.97","937.67","925.30","106.61M","1.32%"
"10/14/2021","925.43","925.89","926.08","922.08","106.53M","0.74%"
"10/13/2021","918.59","900.28","918.63","899.64","109.08M","2.43%"
"10/12/2021","896.79","889.70","897.18","889.24","97.41M","2.20%"
"10/08/2021","877.48","880.99","881.05","875.65","59.56M","0.34%"
"10/07/2021","874.50","867.31","874.83","866.42","71.49M","1.37%"
"10/06/2021","862.72","866.18","866.18","858.74","70.17M","-0.53%"
"10/05/2021","867.28","863.81","867.28","860.99","67.50M","0.83%"
"10/04/2021","860.16","867.11","867.11","858.12","64.23M","-0.66%"
"10/01/2021","865.88","864.38","865.88","857.97","55.55M","0.82%"
"09/30/2021","858.87","861.15","861.37","856.37","75.46M","0.30%"
"09/29/2021","856.27","869.18","870.05","853.40","70.73M","-1.30%"
"09/28/2021","867.59","875.65","875.71","861.70","72.68M","-1.46%"
"09/27/2021","880.41","881.13","881.35","877.00","70.35M","0.49%"
"09/24/2021","876.13","880.30","882.46","875.97","61.38M","-0.66%"
"09/23/2021","881.98","880.76","882.72","877.91","69.77M","0.88%"
"09/22/2021","874.26","874.02","878.55","871.31","74.11M","0.65%"
"09/21/2021","868.61","861.57","869.30","861.57","81.87M","1.72%"
"09/20/2021","853.89","868.56","868.56","847.92","102.92M","-3.71%"
"09/17/2021","886.83","895.76","895.76","884.10","87.78M","-1.01%"
"09/16/2021","895.90","902.72","902.72","892.67","88.52M","-0.97%"
"09/15/2021","904.70","901.71","904.70","901.14","83.40M","0.81%"
"09/14/2021","897.40","905.96","906.59","896.52","87.71M","-0.56%"
"09/13/2021","902.47","906.98","909.92","901.73","98.18M","-0.10%"
"09/10/2021","903.35","907.09","908.50","901.34","78.20M","-0.20%"
"09/09/2021","905.20","910.16","910.16","903.33","64.73M","-0.30%"
"09/08/2021","907.89","912.45","912.49","901.28","85.18M","-0.61%"
"09/07/2021","913.49","928.75","928.75","911.37","120.36M","-1.05%"
"09/03/2021","923.22","914.35","923.99","912.71","105.89M","1.71%"
"09/02/2021","907.70","914.22","914.22","904.71","80.38M","0.02%"
"09/01/2021","907.54","900.69","907.87","899.92","73.43M","1.23%"
"08/31/2021","896.54","894.14","896.54","890.61","72.15M","0.21%"
"08/30/2021","894.68","893.19","894.68","889.88","69.65M","0.36%"
"08/27/2021","891.45","876.33","891.45","876.19","85.11M","1.81%"
"08/26/2021","875.57","881.76","883.94","874.41","58.78M","-1.04%"
"08/25/2021","884.74","879.41","884.74","876.82","49.57M","0.47%"
